,COUNTY,STATE,COUNTYFIPS,num_hospital,num_beds
735,FAIRFIELD,OH,39045,2,255
736,FAJARDO,PR,72053,2,-961
737,FALL RIVER,SD,46047,3,-949
738,FALLON,MT,30025,1,40
739,FALLS,TX,48145,1,36
740,FANNIN,GA,13111,1,50
741,FANNIN,TX,48147,2,-974
742,FARIBAULT,MN,27043,1,43
743,FAULK,SD,46049,1,12
744,FAULKNER,AR,05045,3,-827
745,FAUQUIER,VA,51061,1,97
746,FAYETTE,AL,01057,1,61
747,FAYETTE,GA,13113,1,157
748,FAYETTE,IA,19065,2,50
749,FAYETTE,IL,17051,1,110
750,FAYETTE,IN,18041,1,99
751,FAYETTE,KY,21067,9,-102
752,FAYETTE,OH,39047,1,25
753,FAYETTE,PA,42051,2,283
754,FAYETTE,TN,47047,1,10
755,FAYETTE,TX,48149,1,65
756,FAYETTE,WV,54019,2,94
757,FENTRESS,TN,47049,1,85
758,FERGUS,MT,30027,1,90
759,FERRY,WA,53019,1,25
760,FILLMORE,NE,31059,1,20
761,FINNEY,KS,20055,1,132
762,FISHER,TX,48151,1,14
763,FLAGLER,FL,12035,1,99
764,FLATHEAD,MT,30029,2,206
765,FLEMING,KY,21069,1,52
766,FLORENCE,SC,45041,7,1025
767,FLOYD,GA,13115,4,626
768,FLOYD,IA,19067,1,25
769,FLOYD,IN,18043,3,297
770,FLOYD,KY,21071,3,251
771,FLOYD,TX,48153,1,25
772,FOND DU LAC,WI,55039,4,214
773,FORD,IL,17053,1,67
774,FORD,KS,20057,1,99
775,FORREST,MS,28035,2,545
776,FORSYTH,GA,13117,1,187
777,FORSYTH,NC,37067,6,-143
778,FORT BEND,TX,48157,11,1037
779,FOSTER,ND,38031,1,25
780,FRANKLIN,AL,01059,2,125
781,FRANKLIN,AR,05047,1,-999
782,FRANKLIN,FL,12037,1,25
783,FRANKLIN,GA,13119,3,271
784,FRANKLIN,IA,19069,1,25
785,FRANKLIN,ID,16041,1,20
786,FRANKLIN,IL,17055,1,25
787,FRANKLIN,KS,20059,1,44
788,FRANKLIN,KY,21073,1,173
789,FRANKLIN,LA,22041,1,43
790,FRANKLIN,MA,25011,1,89
791,FRANKLIN,ME,23007,1,65
792,FRANKLIN,MO,29071,1,148
793,FRANKLIN,NC,37069,1,83
794,FRANKLIN,NE,31061,1,14
795,FRANKLIN,NY,36033,3,-826
796,FRANKLIN,OH,39049,24,4378
797,FRANKLIN,PA,42055,3,416
798,FRANKLIN,TN,47051,2,174
799,FRANKLIN,TX,48159,1,49
800,FRANKLIN,VA,51067,1,37
801,FRANKLIN,VT,50011,1,70
802,FRANKLIN,WA,53021,1,106
803,FRANKLIN CITY,VA,51620,1,90
804,FREDERICK,MD,24021,1,308
805,FREDERICKSBURG,VA,51630,2,472
806,FREEBORN,MN,27047,1,159
807,FREESTONE,TX,48161,1,37
808,FREMONT,CO,08043,1,25
809,FREMONT,IA,19071,1,25
810,FREMONT,WY,56013,2,248
811,FRESNO,CA,06019,15,2552
812,FRIO,TX,48163,2,40
813,FULTON,AR,05049,1,25
814,FULTON,GA,13121,19,3903
815,FULTON,IL,17057,1,93
816,FULTON,IN,18049,1,25
817,FULTON,KY,21075,1,70
818,FULTON,NY,36035,1,74
819,FULTON,OH,39051,1,117
820,FULTON,PA,42057,1,21
821,FURNAS,NE,31065,1,20
822,GADSDEN,FL,12039,2,1253
823,GAGE,NE,31067,2,50
824,GALAX,VA,51640,1,141
825,GALLATIN,MT,30031,2,90
826,GALLIA,OH,39053,1,287
827,GALVESTON,TX,48167,4,711
828,GARDEN,NE,31069,1,10
829,GARFIELD,CO,08045,2,119
830,GARFIELD,MT,30033,1,24
831,GARFIELD,OK,40047,2,207
832,GARFIELD,UT,49017,1,41
833,GARFIELD,WA,53023,1,45
834,GARLAND,AR,05051,6,646
835,GARRARD,KY,21079,1,15
836,GARRETT,MD,24023,1,55
837,GARVIN,OK,40049,2,90
838,GASCONADE,MO,29073,1,24
839,GASTON,NC,37071,2,475
840,GEARY,KS,20061,2,-907
841,GEAUGA,OH,39055,2,281
842,GEM,ID,16045,1,16
843,GENESEE,MI,26049,4,1169
844,GENESEE,NY,36037,3,-868
845,GENEVA,AL,01061,1,83
846,GEORGE,MS,28039,1,48
847,GEORGETOWN,SC,45043,2,298
848,GIBSON,IN,18051,1,25
849,GIBSON,TN,47053,1,70
850,GILA,AZ,04007,4,-1929
851,GILES,TN,47055,1,95
852,GILES,VA,51071,2,50
853,GILLESPIE,TX,48171,1,86
854,GILMER,GA,13123,1,50
855,GLACIER,MT,30035,2,-986
856,GLADWIN,MI,26051,1,25
857,GLENN,CA,06021,1,47
858,GLOUCESTER,NJ,34015,3,609
859,GLOUCESTER,VA,51073,1,67
860,GLYNN,GA,13127,2,401
861,GOGEBIC,MI,26053,1,25
862,GOODHUE,MN,27049,3,83
863,GOODING,ID,16047,1,18
864,GORDON,GA,13129,1,80
865,GOSHEN,WY,56015,1,-999
866,GOVE,KS,20063,1,70
867,GRADY,GA,13131,1,60
868,GRAFTON,NH,33009,5,496
869,GRAHAM,AZ,04009,1,49
870,GRAHAM,KS,20065,1,25
871,GRAND,CO,08049,2,44
872,GRAND,UT,49019,1,19
873,GRAND FORKS,ND,38035,5,641
874,GRAND TRAVERSE,MI,26055,1,377
875,GRANITE,MT,30039,1,9
876,GRANT,IN,18053,2,-983
877,GRANT,KS,20067,1,26
878,GRANT,KY,21081,1,25
879,GRANT,MN,27051,1,10
880,GRANT,ND,38037,1,30
881,GRANT,NM,35017,1,71
882,GRANT,SD,46051,1,25
883,GRANT,WA,53025,4,186
884,GRANT,WI,55043,4,85
885,GRANT,WV,54023,1,61
886,GRANVILLE,NC,37077,1,142
887,GRATIOT,MI,26057,1,67
888,GRAVES,KY,21083,1,107
889,GRAY,TX,48179,1,115
890,GRAYS HARBOR,WA,53027,4,-845
891,GRAYSON,KY,21085,1,75
892,GRAYSON,TX,48181,8,602
893,GREELEY,KS,20071,1,50
894,GREEN,KY,21087,1,35
895,GREEN,WI,55045,1,95
896,GREEN LAKE,WI,55047,1,25
897,GREENBRIER,WV,54025,1,122
898,GREENE,AR,05055,1,129
899,GREENE,GA,13133,1,49
900,GREENE,IA,19073,1,25
901,GREENE,IL,17061,1,286
902,GREENE,IN,18055,1,25
903,GREENE,MO,29077,9,1402
904,GREENE,MS,28041,1,7
905,GREENE,OH,39057,3,-823
906,GREENE,PA,42059,1,77
907,GREENE,TN,47059,2,240
908,GREENUP,KY,21089,1,190
909,GREENVILLE,SC,45045,12,1760
910,GREENWOOD,KS,20073,1,25
911,GREENWOOD,SC,45047,2,400
912,GREER,OK,40055,1,25
913,GREGG,TX,48183,6,846
914,GREGORY,SD,46053,1,25
915,GRENADA,MS,28043,1,156
916,GRIGGS,ND,38039,1,18
917,GRIMES,TX,48185,1,25
918,GRUNDY,IA,19075,1,80
919,GRUNDY,IL,17063,1,89
920,GRUNDY,MO,29079,1,25
921,GUADALUPE,NM,35019,1,10
922,GUADALUPE,TX,48187,1,125
923,GUAM,GU,NOT AVAILABLE,3,-1840
924,GUAYAMA,PR,72057,2,201
925,GUERNSEY,OH,39059,2,255
926,GUILFORD,NC,37081,7,1833
927,GULF,FL,12045,1,19
928,GUNNISON,CO,08051,1,24
929,GUTHRIE,IA,19077,1,25
930,GWINNETT,GA,13135,6,-152
931,HAAKON,SD,46055,1,18
932,HABERSHAM,GA,13137,1,53
933,HALE,AL,01065,1,39
934,HALE,TX,48189,2,88
935,HALIFAX,NC,37083,2,306
936,HALIFAX,VA,51083,1,192
937,HALL,GA,13139,2,-442
938,HALL,NE,31079,2,-840
939,HAMBLEN,TN,47063,2,278
940,HAMILTON,IA,19079,1,25
941,HAMILTON,IL,17065,1,25
942,HAMILTON,IN,18057,6,577
943,HAMILTON,KS,20075,1,69
944,HAMILTON,OH,36091,1,-999
945,HAMILTON,OH,39061,23,634
946,HAMILTON,TN,47065,13,1889
947,HAMILTON,TX,48193,1,42
948,HAMPDEN,MA,25013,10,1773
949,HAMPSHIRE,MA,25015,4,-1833
950,HAMPSHIRE,WV,54027,1,44
951,HAMPTON,SC,45049,1,32
952,HAMPTON,VA,51650,3,812
953,HANCOCK,IA,19081,1,25
954,HANCOCK,IL,17067,1,18
955,HANCOCK,IN,18059,1,68
956,HANCOCK,ME,23009,4,-885
957,HANCOCK,MS,28045,1,102
958,HANCOCK,OH,39063,1,176
959,HANCOCK,TN,47067,1,10
960,HAND,SD,46059,1,11
961,HANOVER,VA,51085,2,265
962,HANSFORD,TX,48195,1,25
963,HARALSON,GA,13143,1,25
964,HARDEE,FL,12049,1,25
965,HARDEMAN,TN,47069,1,51
966,HARDEMAN,TX,48197,2,45
967,HARDIN,IA,19083,2,58
968,HARDIN,IL,17069,1,25
969,HARDIN,KY,21093,3,-819
970,HARDIN,OH,39065,1,25
971,HARDIN,TN,47071,1,58
972,HARDIN,TX,48199,1,-999
973,HARFORD,MD,24025,2,255
974,HARLAN,KY,21095,1,150
975,HARLAN,NE,31083,1,19
976,HARMON,OK,40057,1,25
977,HARNETT,NC,37085,2,167
978,HARNEY,OR,41025,1,22
979,HARPER,KS,20077,2,50
980,HARPER,OK,40059,1,25
981,HARRIS,TX,48021,13,830
982,HARRIS,TX,48201,92,11960
983,HARRIS,TX,48339,2,383
984,HARRISON,IA,19085,1,25
985,HARRISON,IN,18061,1,25
986,HARRISON,KY,21097,1,61
987,HARRISON,MO,29081,1,19
988,HARRISON,MS,28047,6,-132
989,HARRISON,OH,39067,1,25
990,HARRISON,TX,48203,1,149
991,HARRISON,WV,54033,3,-1706
992,HARRISONBURG,VA,51660,1,270
993,HART,GA,13147,1,82
994,HART,KY,21099,1,25
995,HARTFORD,CT,09003,12,-17
996,HARTLEY,TX,48205,1,21
997,HARVEY,KS,20079,2,141
998,HASKELL,KS,20081,1,13
999,HASKELL,OK,40061,1,25
1000,HASKELL,TX,48207,1,25
1001,HAWAII,HI,15001,6,504
1002,HAWKINS,TN,47073,1,50
1003,HAYS,TX,48209,4,354
1004,HAYWOOD,NC,37087,1,190
1005,HAYWOOD,TN,47075,1,36
1006,HEMPHILL,TX,48211,1,26
1007,HEMPSTEAD,AR,05057,1,79
1008,HENDERSON,NC,37089,2,325
1009,HENDERSON,TN,47077,1,45
1010,HENDERSON,TX,48213,1,117
1011,HENDRICKS,IN,18063,2,287
1012,HENDRY,FL,12051,1,25
1013,HENNEPIN,MN,27053,11,3629
1014,HENRICO,VA,51087,5,1031
1015,HENRY,GA,13151,2,265
1016,HENRY,IA,19087,1,74
1017,HENRY,IL,17073,2,86
1018,HENRY,IN,18065,1,90
1019,HENRY,MO,29083,2,97
1020,HENRY,OH,39069,1,31
1021,HENRY,TN,47079,1,142
1022,HERKIMER,NY,36043,1,25
1023,HERNANDO,FL,12053,5,620
1024,HERTFORD,NC,37091,1,114
1025,HICKMAN,TN,47081,1,25
1026,HIDALGO,TX,48215,17,1387
1027,HIGHLAND,OH,39071,2,70
1028,HIGHLANDS,FL,12055,2,197
1029,HILL,MT,30041,1,49
1030,HILL,TX,48217,2,165
1031,HILLSBOROUGH,FL,12057,21,1860
1032,HILLSBOROUGH,NH,33011,9,-1062
1033,HILLSDALE,MI,26059,1,65
1034,HINDS,MS,28049,9,1464
1035,HOCKING,OH,39073,1,30
1036,HOCKLEY,TX,48219,1,48
1037,HODGEMAN,KS,20083,1,38
1038,HOKE,NC,37093,2,49
1039,HOLMES,MS,28051,1,25
1040,HOLMES,OH,39075,1,69
1041,HOLT,NE,31089,2,43
1042,HONOLULU,HI,15003,17,1460
1043,HOOD,TX,48221,1,83
1044,HOOD RIVER,OR,41027,1,25
1045,HOPEWELL,VA,51670,1,147
1046,HOPKINS,KY,21107,1,390
1047,HOPKINS,TX,48223,1,96
1048,HORRY,SC,45051,5,753
1049,HOT SPRING,AR,05059,2,100
1050,HOT SPRINGS,WY,56017,2,-974
1051,HOUGHTON,MI,26061,2,61
1052,HOUSTON,AL,01069,5,782
1053,HOUSTON,GA,13153,2,276
1054,HOUSTON,TN,47083,1,25
1055,HOUSTON,TX,48225,1,25
1056,HOWARD,AR,05061,1,-999
1057,HOWARD,IA,19089,1,19
1058,HOWARD,IN,18067,3,254
1059,HOWARD,MD,24027,3,581
1060,HOWARD,NE,31093,1,25
1061,HOWARD,TX,48227,3,-649
1062,HOWELL,MO,29091,2,139
1063,HUBBARD,MN,27057,1,50
1064,HUDSON,NJ,34017,8,879
1065,HUERFANO,CO,08055,1,20
1066,HUGHES,OK,40063,1,25
1067,HUGHES,SD,46065,1,50
1068,HUMACAO,PR,72069,3,-1771
1069,HUMBOLDT,CA,06023,6,299
1070,HUMBOLDT,IA,19091,1,49
1071,HUMBOLDT,NV,32013,1,52
1072,HUMPHREYS,MS,28053,1,34
1073,HUMPHREYS,TN,47085,1,25
1074,HUNT,TX,48231,3,271
1075,HUNTERDON,NJ,34019,1,184
1076,HUNTINGDON,PA,42061,1,100
1077,HUNTINGTON,IN,18069,1,36
1078,HURON,MI,26063,3,88
1079,HURON,OH,39077,2,139
1080,HUTCHINSON,SD,46067,2,50
1081,HUTCHINSON,TX,48233,1,25
1082,IBERIA,LA,22045,3,211
1083,IBERVILLE,LA,22047,1,-999
1084,IDA,IA,19093,1,25
1085,IDAHO,ID,16049,2,41
1086,IMPERIAL,CA,06025,2,268
1087,INDEPENDENCE,AR,05063,1,199
1088,INDIAN RIVER,FL,12061,4,612
1089,INDIANA,PA,42063,1,164
1090,INGHAM,MI,26065,5,1093
1091,INYO,CA,06027,2,62
1092,IONIA,MI,26067,2,47
1093,IOSCO,MI,26069,1,49
1094,IOWA,IA,19095,1,25
1095,IOWA,WI,55049,1,25
1096,IREDELL,NC,37097,3,501
1097,IRON,MI,26071,1,25
1098,IRON,MO,29093,1,15
1099,IRON,UT,49021,1,48
1100,IROQUOIS,IL,17075,1,84
1101,IRWIN,GA,13155,1,34
1102,ISABELLA,MI,26073,1,118
1103,ISANTI,MN,27059,1,86
1104,ISLAND,WA,53029,2,76
1105,ITASCA,MN,27061,3,106
1106,IZARD,AR,05065,1,25
1107,JACK,TX,48237,1,17
1108,JACKSON,AL,01071,1,170
1109,JACKSON,AR,05067,1,133
1110,JACKSON,FL,12063,2,87
1111,JACKSON,GA,13157,1,257
1112,JACKSON,IA,19097,1,25
1113,JACKSON,IL,17077,2,184
1114,JACKSON,IN,18071,1,93
1115,JACKSON,KS,20085,1,12
1116,JACKSON,LA,22049,1,25
1117,JACKSON,MI,26075,2,389
1118,JACKSON,MN,27063,1,20
1119,JACKSON,MO,29095,18,2792
1120,JACKSON,MS,28059,2,571
1121,JACKSON,NC,37099,1,86
1122,JACKSON,OH,39079,1,24
1123,JACKSON,OK,40065,1,49
1124,JACKSON,OR,41029,3,545
1125,JACKSON,TN,47087,1,-999
1126,JACKSON,WI,55053,1,25
1127,JACKSON,WV,54035,1,46
1128,JAMES CITY,VA,51095,2,-942
1129,JASPER,GA,13159,1,17
1130,JASPER,IA,19099,1,68
1131,JASPER,IN,18073,1,46
1132,JASPER,MO,29097,1,25
1133,JASPER,MS,28061,1,16
1134,JASPER,SC,45053,1,41
1135,JASPER,TX,48241,1,59
1136,JAY,IN,18075,1,35
1137,JEFF DAVIS,GA,13161,1,25
1138,JEFFERSON,AL,01073,14,3927
1139,JEFFERSON,AR,05069,2,498
1140,JEFFERSON,CO,08059,3,764
1141,JEFFERSON,GA,13163,1,37
1142,JEFFERSON,IA,19101,1,25
1143,JEFFERSON,IL,17081,3,-812
1144,JEFFERSON,IN,18077,3,299
1145,JEFFERSON,KS,20087,1,74
1146,JEFFERSON,KY,21111,16,3604
1147,JEFFERSON,LA,22051,17,-6364
1148,JEFFERSON,MO,29099,1,251
1149,JEFFERSON,MS,28063,1,30
1150,JEFFERSON,NE,31095,1,17
1151,JEFFERSON,NY,36045,3,344
1152,JEFFERSON,OH,39081,4,560
1153,JEFFERSON,OR,41031,1,-999
1154,JEFFERSON,PA,42065,2,84
1155,JEFFERSON,TN,47089,1,54
1156,JEFFERSON,TX,48245,14,1699
1157,JEFFERSON,WA,53031,1,25
1158,JEFFERSON,WI,55055,1,82
1159,JEFFERSON,WV,54037,1,25
1160,JEFFERSON DAVIS,LA,22053,4,-903
1161,JEFFERSON DAVIS,MS,28065,1,35
1162,JENKINS,GA,13165,1,25
1163,JENNINGS,IN,18079,1,17
1164,JERAULD,SD,46073,1,16
1165,JEROME,ID,16053,1,25
1166,JERSEY,IL,17083,1,49
1167,JEWELL,KS,20089,1,25
1168,JIM WELLS,TX,48249,1,159
1169,JO DAVIESS,IL,17085,1,25
1170,JOHNSON,AR,05071,1,80
1171,JOHNSON,IA,19103,4,384
1172,JOHNSON,IN,18081,3,275
1173,JOHNSON,KS,20091,17,612
1174,JOHNSON,KY,21115,1,72
1175,JOHNSON,MO,29101,1,75
1176,JOHNSON,NE,31097,1,18
1177,JOHNSON,TN,47091,1,-999
1178,JOHNSON,TX,48251,1,137
1179,JOHNSON,WY,56019,1,25
1180,JOHNSTON,NC,37101,1,199
1181,JOHNSTON,OK,40069,1,25
1182,JONES,IA,19105,2,60
1183,JONES,MS,28067,1,285
1184,JONES,TX,48253,3,95
1185,JOSEPHINE,OR,41033,1,125
1186,JUAB,UT,49023,1,25
1187,JUNEAU,AK,02110,1,-999
1188,JUNEAU,WI,55057,1,40
1189,KALAMAZOO,MI,26077,2,821
1190,KALKASKA,MI,26079,1,8
1191,KANABEC,MN,27065,1,49
1192,KANAWHA,WV,54039,6,-2408
1193,KANDIYOHI,MN,27067,1,136
1194,KANE,IL,17089,4,917
1195,KANE,UT,49025,1,-999
1196,KANKAKEE,IL,17091,2,468
1197,KARNES,TX,48255,1,25
1198,KAUAI,HI,15007,2,144
1199,KAUFMAN,TX,48257,3,-592
1200,KAY,OK,40071,2,193
1201,KEARNEY,NE,31099,1,10
1202,KEARNY,KS,20093,1,25
1203,KEITH,NE,31101,1,18
1204,KEMPER,MS,28067,1,25
1205,KENAI PENINSULA,AK,02122,3,204
1206,KENNEBEC,ME,23011,7,-1371
1207,KENOSHA,WI,55059,3,517
1208,KENT,DE,10001,2,288
1209,KENT,MD,24029,1,26
1210,KENT,MI,26081,8,1860
1211,KENT,RI,44003,1,359
1212,KENTON,KY,21117,4,728
1213,KEOKUK,IA,19107,1,25
1214,KERN,CA,06029,15,1833
1215,KERR,TX,48265,3,-673
1216,KERSHAW,SC,45055,1,121
1217,KETCHIKAN GATEWAY,AK,02130,1,54
1218,KIMBALL,NE,31105,1,12
1219,KIMBLE,TX,48267,1,15
1220,KING,WA,53033,30,438
1221,KINGFISHER,OK,40073,1,25
1222,KINGMAN,KS,20095,1,25
1223,KINGS,CA,06031,3,-918
1224,KINGS,NY,36047,18,3169
1225,KINGSBURY,SD,46077,1,6
1226,KIOWA,CO,08061,1,42
1227,KIOWA,KS,20097,1,15
1228,KIOWA,OK,40075,1,38
1229,KIT CARSON,CO,08063,1,19
1230,KITSAP,WA,53035,4,-618
1231,KITTITAS,WA,53037,1,25
1232,KITTSON,MN,27069,1,15
1233,KLAMATH,OR,41035,1,98
1234,KLEBERG,TX,48273,1,100
1235,KLICKITAT,WA,53039,2,42
1236,KNOX,IL,17095,2,209
1237,KNOX,KY,21121,1,25
1238,KNOX,ME,23013,1,109
1239,KNOX,NE,31107,1,23
1240,KNOX,OH,39083,1,111
1241,KNOX,TN,47093,13,-842
1242,KNOX,TX,48275,1,28
1243,KODIAK ISLAND,AK,02150,1,25
1244,KOOCHICHING,MN,27071,1,49
1245,KOOTENAI,ID,16055,4,396
1246,KOSCIUSKO,IN,18085,2,88
1247,KOSSUTH,IA,19109,1,25
1248,LA CROSSE,WI,55063,2,656
1249,LA PAZ,AZ,04012,2,-974
1250,LA PLATA,CO,08067,2,94
1251,LA SALLE,IL,17099,4,-755
1252,LA SALLE,LA,22059,2,84
1253,LABETTE,KS,20099,3,-932
1254,LAC QUI PARLE,MN,27073,1,20
1255,LACKAWANNA,PA,42069,5,1079
1256,LACLEDE,MO,29105,1,58
1257,LAFAYETTE,LA,22055,17,-2876
1258,LAFAYETTE,MO,29107,1,32
1259,LAFAYETTE,MS,28071,1,217
1260,LAFAYETTE,WI,55065,1,25
1261,LAFOURCHE,LA,22057,3,203
1262,LAGRANGE,IN,18087,1,25
1263,LAKE,CA,06033,2,62
1264,LAKE,CO,08065,1,25
1265,LAKE,FL,12069,5,897
1266,LAKE,IL,17097,8,-1030
1267,LAKE,IN,18089,14,1148
1268,LAKE,MN,27075,1,25
1269,LAKE,MT,30047,2,-894
1270,LAKE,OH,39085,3,561
1271,LAKE,OR,41037,1,71
1272,LAKE,SD,46079,2,47
1273,LAKE OF THE WOODS,MN,27077,1,15
1274,LAMAR,MS,28073,2,261
1275,LAMAR,TX,48277,3,393
1276,LAMB,TX,48279,1,75
1277,LAMOILLE,VT,50015,1,25
1278,LAMPASAS,TX,48281,1,25
1279,LANCASTER,NE,31109,7,980
1280,LANCASTER,PA,42071,5,1191
1281,LANCASTER,SC,15057,1,42
1282,LANCASTER,SC,45057,1,211
1283,LANCASTER,VA,51103,1,76
1284,LANDER,NV,32015,1,7
1285,LANE,KS,20101,1,17
1286,LANE,OR,41039,6,-1467
1287,LANGLADE,WI,55067,1,25
1288,LANIER,GA,13173,1,25
1289,LAPEER,MI,26087,1,183
1290,LAPORTE,IN,18091,2,377
1291,LARAMIE,WY,56021,2,-793
1292,LARES,PR,72081,1,24
1293,LARIMER,CO,08069,8,725
1294,LAS ANIMAS,CO,08071,1,25
1295,LASSEN,CA,06035,1,38
1296,LATAH,ID,16057,1,25
1297,LATIMER,OK,40077,2,-966
1298,LAUDERDALE,AL,01077,1,358
1299,LAUDERDALE,MS,28075,7,988
1300,LAUDERDALE,TN,47097,1,25
1301,LAUREL,KY,21125,1,150
1302,LAURENS,GA,13175,2,368
1303,LAURENS,SC,45059,1,76
1304,LAVACA,TX,48285,2,50
1305,LAWRENCE,AL,01079,1,98
1306,LAWRENCE,IL,17101,1,25
1307,LAWRENCE,IN,18093,2,50
1308,LAWRENCE,KY,21127,1,90
1309,LAWRENCE,MO,29109,2,132
1310,LAWRENCE,MS,28077,1,25
1311,LAWRENCE,OH,39087,1,8
1312,LAWRENCE,PA,42073,2,316
1313,LAWRENCE,SD,46081,3,66
1314,LAWRENCE,TN,47099,1,90
1315,LE FLORE,OK,40079,1,43
1316,LE SUEUR,MN,27079,1,15
1317,LEA,NM,35025,2,211
1318,LEAKE,MS,28079,1,25
1319,LEAVENWORTH,KS,20103,3,-869
1320,LEBANON,PA,42075,3,484
1321,LEE,AL,01081,1,314
1322,LEE,FL,12071,7,2240
1323,LEE,IA,19111,2,121
1324,LEE,IL,17103,1,80
1325,LEE,MS,28081,2,700
1326,LEE,NC,37105,1,127
1327,LEE,SC,45061,1,20
1328,LEE,VA,51105,1,70
1329,LEFLORE,MS,28083,2,248
1330,LEHIGH,PA,42077,10,938
1331,LEMHI,ID,16059,1,18
1332,LENAWEE,MI,26091,2,113
1333,LENOIR,NC,37107,1,261
1334,LEON,FL,12073,5,1208
1335,LESLIE,KY,21131,1,25
1336,LETCHER,KY,21133,1,90
1337,LEVY,FL,12075,1,40
1338,LEWIS,NY,36049,1,31
1339,LEWIS,WA,53041,2,125
1340,LEWIS,WV,54041,2,220
1341,LEWIS AND CLARK,MT,30049,3,-856
1342,LEXINGTON,SC,45063,3,556
1343,LEXINGTON,VA,51678,1,25
1344,LIBERTY,GA,13179,2,-974
1345,LIBERTY,MT,30051,1,25
1346,LIBERTY,TX,48291,3,136
1347,LICKING,OH,39089,4,-737
1348,LIMESTONE,AL,01083,2,102
1349,LIMESTONE,TX,48293,2,79
1350,LINCOLN,CO,08073,1,50
1351,LINCOLN,KS,20105,1,14
1352,LINCOLN,KY,21137,1,25
1353,LINCOLN,LA,22061,5,-1839
1354,LINCOLN,ME,23015,2,84
1355,LINCOLN,MN,27081,2,44
1356,LINCOLN,MO,29113,1,25
1357,LINCOLN,MS,28085,1,99
1358,LINCOLN,MT,30053,1,25
1359,LINCOLN,NC,37109,1,101
1360,LINCOLN,NM,35027,1,25
1361,LINCOLN,NV,32017,1,20
1362,LINCOLN,OK,40081,2,50
1363,LINCOLN,OR,41041,2,50
1364,LINCOLN,SD,46083,5,-1880
1365,LINCOLN,TN,47103,1,59
1366,LINCOLN,WA,53043,2,85
1367,LINCOLN,WI,55069,2,43
1368,LINCOLN,WY,56023,2,38
1369,LINN,IA,19111,1,24
1370,LINN,IA,19113,2,994
1371,LINN,MO,29115,1,54
1372,LINN,OR,41043,2,98
1373,LITCHFIELD,CT,09005,3,272
1374,LITTLE RIVER,AR,05081,1,25
1375,LIVINGSTON,IL,17105,1,42
1376,LIVINGSTON,KY,21139,1,25
1377,LIVINGSTON,LA,22063,1,59
1378,LIVINGSTON,MI,26093,2,177
1379,LIVINGSTON,MO,29117,1,25
1380,LIVINGSTON,NY,36051,1,67
1381,LLANO,TX,48299,1,30
1382,LOGAN,AR,05083,2,41
1383,LOGAN,CO,08075,1,25
1384,LOGAN,IL,17107,1,25
1385,LOGAN,KS,20109,1,71
1386,LOGAN,KY,21141,1,75
1387,LOGAN,OH,39091,1,115
1388,LOGAN,OK,40083,1,25
1389,LOGAN,WV,54045,1,140
1390,LORAIN,OH,39093,7,-2495
1391,LOS ALAMOS,NM,35028,1,47
1392,LOS ANGELES,CA,06037,130,25991
1393,LOUDON,TN,47105,1,50
1394,LOUDOUN,VA,51107,4,462
1395,LOVE,OK,40085,1,25
1396,LOWNDES,GA,13185,3,475
1397,LOWNDES,MS,28087,1,315
1398,LUBBOCK,TX,48303,8,-373
1399,LUCAS,IA,19117,1,25
1400,LUCAS,OH,39095,14,1359
1401,LUCE,MI,26095,1,25
1402,LUMPKIN,GA,13187,1,49
1403,LUNA,NM,35029,1,25
1404,LUZERNE,PA,42079,8,1247
1405,LYCOMING,PA,42081,4,302
1406,LYNCHBURG,VA,51680,3,738
1407,LYNN,TX,48305,1,24
1408,LYON,IA,19119,1,25
1409,LYON,KS,20111,1,59
1410,LYON,MN,27083,2,74
1411,LYON,NV,32019,3,-1935
1412,MACKINAC,MI,26097,1,15
1413,MACOMB,MI,26099,7,323
1414,MACON,AL,01087,1,-999
1415,MACON,GA,13193,1,49
1416,MACON,IL,17115,1,188
1417,MACON,MO,29121,1,25
1418,MACON,NC,37113,2,83
1419,MACON,TN,47111,1,25
1420,MACOUPIN,IL,17117,1,25
1421,MADERA,CA,06039,2,462
1422,MADISON,AL,01089,7,-820
1423,MADISON,FL,12079,1,25
1424,MADISON,IA,19121,1,25
1425,MADISON,ID,16065,1,69
1426,MADISON,IL,17119,6,-1055
1427,MADISON,IN,18095,5,402
1428,MADISON,KY,21151,2,130
1429,MADISON,LA,22065,1,25
1430,MADISON,MO,29123,1,144
1431,MADISON,MS,28089,2,134
1432,MADISON,MT,30057,2,20
1433,MADISON,NE,31119,3,281
1434,MADISON,NY,36053,1,101
1435,MADISON,OH,39097,1,94
1436,MADISON,TN,47113,3,835
1437,MADISON,TX,48313,1,25
1438,MAHASKA,IA,19123,1,33
1439,MAHNOMEN,MN,27087,1,18
1440,MAHONING,OH,39099,9,98
1441,MAJOR,OK,40093,1,25
1442,MALHEUR,OR,41045,1,49
1443,MANASSAS,VA,51683,1,130
1444,MANATEE,FL,12081,5,806
1445,MANATI,PR,72091,4,-2847
1446,MANISTEE,MI,26101,1,45
1447,MANITOWOC,WI,55071,2,236
1448,MAOPUTASI,AS,NOT AVAILABLE,1,-999
1449,MARATHON,WI,55073,3,440
1450,MARENGO,AL,01091,1,99
1451,MARICOPA,AZ,04013,72,-7338
1452,MARIN,CA,06041,4,458
1453,MARINETTE,WI,55075,1,99
1454,MARION,AL,01093,1,49
